Id,Category,Name,Ingredients,Description
1,"Hot Beverages","Espresso","Coffee","Espresso: A concentrated coffee beverage brewed by forcing a small amount of nearly boiling water through finely-ground coffee beans."
2,"Hot Beverages","Double Espresso","Coffee","Double Espresso: A stronger version of espresso, made by brewing twice the amount of coffee grounds."
3,"Hot Beverages","Country Coffee","Coffee,Milk,Sugar","Country Coffee: A comforting coffee drink made with coffee, milk, and sugar, reminiscent of rural traditions."
4,"Hot Beverages","American Coffee","Coffee,Water","American Coffee: A simple coffee drink made with coffee and hot water, popular in the United States."
5,"Hot Beverages","Irish Coffee","Coffee,Whiskey,Cream","Irish Coffee: A delightful coffee cocktail made with coffee, Irish whiskey, sugar, and topped with cream."
6,"Hot Beverages","Cappuccino","Coffee,Foamed Milk","Cappuccino: An Italian coffee drink made with espresso and steamed milk foam, often topped with cocoa powder."
7,"Hot Beverages","Caramel Cappuccino","Coffee,Foamed Milk,Caramel Syrup","Caramel Cappuccino: A delicious variation of cappuccino made with espresso, foamed milk, and caramel syrup."
8,"Hot Beverages","Moccaccino","Coffee,Milk,Chocolate","Moccaccino: A delightful coffee drink made with espresso, steamed milk, and chocolate, perfect for chocolate lovers."
9,"Hot Beverages","Oreo Moccaccino","Coffee,Milk,Chocolate,Oreo Cookies","Oreo Moccaccino: A decadent coffee beverage made with espresso, steamed milk, chocolate, and crushed Oreo cookies, offering a delightful combination of flavors."
10,"Hot Beverages","Latte","Coffee,Milk","Latte: A smooth and creamy coffee drink made with espresso and steamed milk, often enjoyed with a dash of froth on top."
11,"Hot Beverages","Carajillo","Coffee,Liqueur","Carajillo: A Spanish coffee cocktail made with coffee and a splash of liqueur, usually served warm or over ice."
12,"Hot Beverages","Hot Milo","Milo","Hot Milo: A comforting and chocolatey drink made with Milo powder and hot milk, popular in many countries."
13,"Hot Beverages","Herbal Tea","Herbal Infusion","Herbal Tea: A soothing beverage made by steeping dried herbs, flowers, or fruits in hot water, offering a variety of flavors and health benefits."
14,"Hot Beverages","Amaretto Coffee","Coffee,Amaretto Liqueur","Amaretto Coffee: A delightful coffee cocktail made with coffee and amaretto liqueur, offering a nutty and sweet flavor profile."
15,"Cold Beverages","Coffee Slush","Coffee","Coffee Slush: A refreshing frozen coffee drink made with blended coffee and ice, perfect for hot summer days."
16,"Cold Beverages","Moccaccino Slush","Coffee,Milk,Chocolate","Moccaccino Slush: A frosty and indulgent frozen coffee drink made with blended coffee, milk, and chocolate, offering a delightful combination of flavors."
17,"Cold Beverages","Oreo Moccaccino Slush","Coffee,Milk,Chocolate,Oreo Cookies","Oreo Moccaccino Slush: A delicious frozen coffee beverage made with blended coffee, milk, chocolate, and crushed Oreo cookies, offering a delightful and indulgent treat."
18,"Cold Beverages","Milo Slush","Milo","Milo Slush: A frosty and chocolatey frozen drink made with blended Milo powder and ice, perfect for cooling off on a hot day."
19,"Cold Beverages","Caramel Coffee Slush","Coffee,Caramel Syrup","Caramel Coffee Slush: A refreshing frozen coffee drink made with blended coffee and caramel syrup, offering a sweet and indulgent flavor profile."
20,"Cold Beverages","Café Nevado","Coffee","Café Nevado: A delightful cold coffee drink made with chilled coffee, often served with a dollop of whipped cream on top."
